Step;Tiempo;Temperatura
0;0,0;293,15
1;10526,315789473685;281,7902230001074
2;21052,63157894737;271,3462836836498
3;31578,947368421053;263,27866487477775
4;42105,26315789474;256,1182491600312
5;52631,57894736843;251,89062630026504
6;63157,89473684211;249,7022507378534
7;73684,2105263158;248,47911734854355
8;84210,52631578948;247,7028400277139
9;94736,84210526316;247,23075044690353
10;105263,15789473685;246,96437103288554
11;115789,47368421053;248,13425829044684
12;126315,78947368421;248,55768569206552
13;136842,1052631579;248,1713399577725
14;147368,4210526316;248,08419140331515
15;157894,73684210528;247,85841576835324
16;168421,05263157896;247,4598037822339
17;178947,36842105264;247,1074098112897
18;189473,68421052632;246,88652482079334
19;200000,00000000003;248,40785308340094
