Step;Tiempo;Temperatura
0;0.0;283.15
1;15789.473684210527;276.2318121270445
2;31578.947368421053;273.6769923745305
3;47368.42105263158;271.29744979984673
4;63157.89473684211;270.1381023686753
5;78947.36842105264;269.1423895607828
6;94736.84210526316;268.28019222330823
7;110526.31578947368;267.56513298258886
8;126315.78947368421;266.9321992224076
9;142105.26315789475;266.29539749523303
10;157894.73684210528;265.6936735774799
11;173684.2105263158;265.3151229437045
12;189473.68421052632;264.66082348694584
13;205263.15789473685;264.1373051495352
14;221052.63157894736;263.51013539062257
15;236842.1052631579;262.8793251156743
16;252631.57894736843;262.21307399811707
17;268421.05263157893;261.5063556679069
18;284210.5263157895;260.7619136472811
19;300000.0;259.9875569418231
