Step;Tiempo;Temperatura
0;0.0;283.15
1;8620.689655172413;280.96097148415623
2;17241.379310344826;279.43158984872247
3;25862.06896551724;278.1416776290676
4;34482.75862068965;277.07741259784643
5;43103.448275862065;276.1365597462873
6;51724.13793103448;275.320182469737
7;60344.82758620689;274.71582996858933
8;68965.5172413793;274.00185395327543
9;77586.20689655171;273.3317640994437
10;86206.89655172413;272.9628286295323
11;94827.58620689655;272.3590523618275
12;103448.27586206896;271.86099472128524
13;112068.96551724136;271.3754008259356
14;120689.65517241378;270.90321378705033
15;129310.3448275862;270.4694057810759
16;137931.0344827586;270.0706887280583
17;146551.724137931;269.7857351901779
18;155172.41379310342;269.4305136773502
19;163793.10344827586;269.1088051779835
20;172413.79310344826;268.9118266329209
21;181034.48275862067;268.59787040179475
22;189655.1724137931;268.3120386717066
23;198275.8620689655;268.0524770939869
24;206896.5517241379;267.8178804971312
25;215517.24137931032;267.61017945641316
26;224137.93103448272;267.40292270391194
27;232758.62068965516;267.23790471224675
28;241379.31034482757;267.0548862502247
29;249999.99999999997;266.8851716841515
