Step;Tiempo;Temperatura
0;0.0;283.15
1;14705.882352941177;276.7932650079724
2;29411.764705882353;274.56000733083755
3;44117.64705882353;271.9052745684135
4;58823.529411764706;270.69699054518077
5;73529.41176470589;269.2090481763164
6;88235.29411764706;268.2380461059243
7;102941.17647058824;266.9790725130049
8;117647.05882352941;265.95407176726656
9;132352.9411764706;264.4898424470054
10;147058.82352941178;263.05902292891716
11;161764.70588235295;261.2490268884774
12;176470.58823529413;259.5370599289918
13;191176.4705882353;257.6707874025359
14;205882.35294117648;256.0155285124678
15;220588.23529411765;254.4434544330307
16;235294.11764705883;253.07210542283687
17;250000.0;251.8892989249773
