Step;Tiempo;Temperatura
0;0.0;283.15
1;14705.882352941177;277.3688580911785
2;29411.764705882353;274.6323514828966
3;44117.64705882353;272.0974710392219
4;58823.529411764706;270.7011348842791
5;73529.41176470589;269.3289753170249
6;88235.29411764706;268.2398150579056
7;102941.17647058824;267.05135344620544
8;117647.05882352941;265.9252010060811
9;132352.9411764706;264.4687739639235
10;147058.82352941178;262.9333226026775
11;161764.70588235295;261.1307336442038
12;176470.58823529413;259.3594664224089
13;191176.4705882353;257.51885737173353
14;205882.35294117648;255.85439390298814
15;220588.23529411765;254.30825327133732
16;235294.11764705883;252.95120206664814
17;250000.0;251.7832365270794
