Step;Tiempo;Temperatura
0;0,0;293,15
1;10526,315789473685;291,1273690148148
2;21052,63157894737;288,4513952152288
3;31578,947368421053;285,51917429468
4;42105,26315789474;282,6151843002495
5;52631,57894736843;280,25124906098125
6;63157,89473684211;278,22186687731835
7;73684,2105263158;276,51715078387826
8;84210,52631578948;275,15830230463473
9;94736,84210526316;274,1217384915664
10;105263,15789473685;273,2363952623356
11;115789,47368421053;272,4076146190493
12;126315,78947368421;271,6919997710188
13;136842,1052631579;271,0516697967632
14;147368,4210526316;270,423579666882
15;157894,73684210528;269,8441859480172
16;168421,05263157896;269,268344537509
17;178947,36842105264;268,6968401477743
18;189473,68421052632;268,131878450183
19;200000,00000000003;267,57506813786824
