Step;Tiempo;Temperatura
0;0.0;283.15
1;17647.058823529413;276.39812209575354
2;35294.117647058825;272.276556650042
3;52941.17647058824;270.1102708346598
4;70588.23529411765;268.67333164929653
5;88235.29411764706;267.64594261288676
6;105882.35294117648;266.6203284021226
7;123529.41176470589;265.6717451900905
8;141176.4705882353;264.78040184571427
9;158823.5294117647;263.8152348993213
10;176470.58823529413;262.83527721182327
11;194117.64705882355;261.6866975206069
12;211764.70588235295;260.45260148458937
13;229411.76470588235;259.6663028839675
14;247058.82352941178;258.4357159835832
15;264705.8823529412;257.1982494322386
16;282352.9411764706;255.96727690496655
17;300000.0;254.79747167025653
