Step;Tiempo;Temperatura
0;0.0;283.15
1;14705.882352941177;276.81058428580053
2;29411.764705882353;274.27096604134556
3;44117.64705882353;271.3205147625332
4;58823.529411764706;270.1854743285859
5;73529.41176470589;268.78334562997856
6;88235.29411764706;268.0473807342977
7;102941.17647058824;267.1513569234157
8;117647.05882352941;266.5401211424271
9;132352.9411764706;265.74130538239467
10;147058.82352941178;265.18215995093954
11;161764.70588235295;264.4067353959183
12;176470.58823529413;263.7177198007207
13;191176.4705882353;262.83435977667426
14;205882.35294117648;261.9542097031587
15;220588.23529411765;260.9420853515351
16;235294.11764705883;259.8831013774226
17;250000.0;258.7884215532612
